Unnamed: 0,state code,latitude,longitude,zip code,id,city,name,founded at,first funding at,last funding at,age first funding year,age last funding year,age first milestone year,age last milestone year,relationships,funding rounds,funding total usd,milestones,state code 1,is CA,is NY,is MA,is TX,is otherstate,category code,is software,is web,is mobile,is enterprise,is advertising,is games video,is ecommerce,is biotech,is consulting,is other category,object id,has VC,has angel,has round A,has round B,has round C,has round D,avg participants,is top 500,status
1005,2,42.35888,-71.05682,250,811,173,75,15,295,7,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,2,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,811,0,1,0,0,0,0,1.0,0,1
204,2,37.238916,-121.973718,336,170,108,781,8,216,205,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,2,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,170,1,0,0,1,1,1,4.75,1,1
1001,2,32.901049,-117.192656,251,807,173,585,106,278,322,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,807,0,0,1,0,0,0,4.0,1,1
738,2,37.320309,-122.05004,333,592,55,712,10,218,379,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,592,0,0,0,1,1,1,3.3333,1,1
1002,2,37.779281,-122.419236,295,808,174,351,183,490,340,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,2,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,808,1,1,0,0,0,0,1.0,1,0
379,2,37.406914,-122.09037,279,310,125,450,10,459,533,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,2,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,310,0,0,0,1,0,0,3.0,1,0
195,2,37.3915589,-122.0702643,278,161,125,638,13,558,297,1.7205,5.211,3.0,6.6082,6,3,26000000,2,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,161,1,0,1,1,0,0,1.6667,1,1
875,2,38.057107,-122.513742,327,698,178,144,12,513,111,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,2,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,698,0,0,1,1,0,1,3.5,1,1
16,12,42.712207,-73.203599,30,14,214,826,10,506,280,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,12,0,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,14,1,0,1,0,0,1,4.0,1,1
846,2,37.427235,-122.145783,309,674,143,212,150,205,273,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,674,1,1,1,0,0,0,1.0,1,1
685,2,37.4429885,-122.1624131,273,551,117,884,58,438,382,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,2,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,551,0,0,1,1,0,0,1.0,1,1
835,2,37.452992,-122.185098,273,663,117,135,14,205,443,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,663,1,1,1,0,0,0,1.75,1,0
531,11,38.241467,-85.72451099999998,129,426,109,629,12,146,155,4.9041,4.9041,2.5205,4.4767,0,1,350000,0,11,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,426,1,0,0,0,0,0,1.0,0,0
137,23,40.70276,-73.98666800000002,25,114,32,891,63,194,442,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,23,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,114,0,0,1,1,1,0,2.3333,1,1
162,3,39.74627279999999,-104.9911572,195,135,58,732,9,525,208,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,3,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,135,0,0,1,1,0,0,2.5,1,1
898,31,38.901301,-77.265158,92,720,203,363,7,532,635,6.6082,6.6082,2.5205,4.4767,0,1,200000,0,31,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,1,720,1,0,0,0,0,0,1.0,0,0
235,2,37.39628270000001,-122.105531,271,190,106,605,11,506,114,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,2,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,190,1,0,1,1,1,1,3.5,1,0
25,2,37.590339,-122.341715,268,20,34,453,164,203,637,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,2,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,20,0,0,1,1,1,1,3.5,1,1
858,23,40.730646,-73.986614,6,685,135,687,18,570,578,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,23,0,1,0,0,0,34,0,1,0,0,0,0,0,0,0,0,685,0,1,1,0,0,0,5.0,1,1
454,2,37.446411,-122.16054,305,372,143,92,15,461,107,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,2,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,372,0,0,1,1,0,0,1.0,1,0
